"Story","Title","Result","Date","Stability","Duration (s)"
"List test","Check movie in a list","SUCCESS","2020-08-30T12:21:23.793-05:00","0.0","0.36"
"List test","Test add movie","SUCCESS","2020-08-30T12:21:18.088-05:00","0.0","1.22"
"List test","Test clear list","SUCCESS","2020-08-30T12:21:13.567-05:00","0.0","4.52"
"Authentication test","Test create guest session","SUCCESS","2020-08-30T12:21:06.848-05:00","0.0","0.33"
"List test","Test create list","SUCCESS","2020-08-30T12:21:19.703-05:00","0.0","1.36"
"Authentication test","Test create session","SUCCESS","2020-08-30T12:21:08.058-05:00","0.0","1.12"
"Authentication test","Test create session with login","SUCCESS","2020-08-30T12:21:07.177-05:00","0.0","0.88"
"List test","Test delete list","FAILURE","2020-08-30T12:21:21.068-05:00","0.0","2.72"
"Authentication test","Test delete session","SUCCESS","2020-08-30T12:21:05.364-05:00","0.0","1.48"
"Rating media test","Test favorite movies to objects","SUCCESS","2020-08-30T12:21:24.852-05:00","0.0","2.21"
"List test","Test get details of a list","SUCCESS","2020-08-30T12:21:19.304-05:00","0.0","0.4"
"Authentication test","Test get request token","SUCCESS","2020-08-30T12:21:02.935-05:00","0.0","2.34"
"Rating media test","Test rate movie","SUCCESS","2020-08-30T12:21:28.411-05:00","0.0","1.31"
"Rating media test","Test rate tv episode","SUCCESS","2020-08-30T12:21:27.064-05:00","0.0","1.35"
"Rating media test","Test rate tv show","SUCCESS","2020-08-30T12:21:29.724-05:00","0.0","1.37"
"List test","Test remove movie","SUCCESS","2020-08-30T12:21:11.422-05:00","0.0","2.14"
